name,nii_file,nii_file_id,4dvolind
18_to_1,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,1
18_to_2,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,2
18_to_3,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,3
18_to_4,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,4
18_to_5,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,5
18_to_6,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,6
18_to_7,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,7
18_to_8,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,8
18_to_9,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,9
18_to_10,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,10
18_to_11,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,11
18_to_12,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,12
18_to_13,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,13
18_to_14,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,14
18_to_15,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,15
18_to_16,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,16
18_to_17,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,17
18_to_18,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,18
18_to_19,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,19
18_to_20,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,20
18_to_21,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,21
18_to_22,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,22
18_to_23,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,23
18_to_24,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,24
18_to_25,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,25
18_to_26,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,26
18_to_27,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,27
18_to_28,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,28
18_to_29,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,29
